Date,SPY
2001-11-07,111.639999
2001-11-08,111.900002
2001-11-09,111.440002
2001-11-12,110.0
2001-11-13,113.18
2001-11-14,113.709999
2001-11-15,113.93
2001-11-16,113.400002
2001-11-19,114.449997
2001-11-20,114.639999
2001-11-21,113.510002
2001-11-23,114.0
2001-11-26,115.07
2001-11-27,114.089996
2001-11-28,113.25
2001-11-29,113.0
2001-11-30,114.019997
2001-12-03,113.010002
2001-12-04,113.349998
2001-12-05,115.559998
2001-12-06,116.93
2001-12-07,115.699997
2001-12-10,114.349998
2001-12-11,113.900002
2001-12-12,113.110001
2001-12-13,112.040001
2001-12-14,112.0
2001-12-17,112.900002
2001-12-18,114.339996
2001-12-19,114.0
2001-12-20,114.550003
2001-12-21,114.199997
2001-12-24,114.610001
2001-12-26,114.650002
2001-12-27,115.25
2001-12-28,115.91999799999999
2001-12-31,114.230003
2002-01-02,113.809998
2002-01-03,115.540001
2002-01-04,116.550003
2002-01-07,116.559998
2002-01-08,115.970001
2002-01-09,115.339996
2002-01-10,115.300003
2002-01-11,114.699997
2002-01-14,113.959999
2002-01-15,113.900002
2002-01-16,112.690002
2002-01-17,113.400002
2002-01-18,112.66999799999999
2002-01-22,112.019997
2002-01-23,112.019997
2002-01-24,113.32
2002-01-25,113.040001
2002-01-28,112.91999799999999
2002-01-29,110.050003
2002-01-30,108.400002
2002-01-31,111.620003
2002-02-01,112.16999799999999
2002-02-04,109.440002
2002-02-05,108.529999
2002-02-06,108.059998
2002-02-07,108.0
2002-02-08,108.300003
2002-02-11,109.82
2002-02-12,110.029999
2002-02-13,111.349998
2002-02-14,111.589996
2002-02-15,110.709999
2002-02-19,108.610001
2002-02-20,107.82
2002-02-21,108.260002
2002-02-22,107.870003
2002-02-25,109.699997
2002-02-26,110.57
2002-02-27,110.650002
2002-02-28,111.029999
2002-03-01,111.510002
2002-03-04,113.650002
2002-03-05,114.970001
2002-03-06,115.07
2002-03-07,115.57
2002-03-08,116.480003
2002-03-11,116.43
2002-03-12,115.940002
2002-03-13,115.639999
2002-03-14,115.629997
2002-03-15,115.900002
2002-03-18,116.099998
2002-03-19,116.82
2002-03-20,115.190002
2002-03-21,114.120003
2002-03-22,114.699997
2002-03-25,113.300003
2002-03-26,113.470001
2002-03-27,113.760002
2002-03-28,114.5
2002-04-01,113.5
2002-04-02,113.769997
2002-04-03,112.160004
2002-04-04,112.230003
2002-04-05,112.18
2002-04-08,111.230003
2002-04-09,111.93
2002-04-10,112.089996
2002-04-11,110.5
2002-04-12,110.040001
2002-04-15,110.199997
2002-04-16,111.66999799999999
2002-04-17,112.599998
2002-04-18,111.150002
2002-04-19,112.559998
2002-04-22,110.839996
2002-04-23,110.16999799999999
2002-04-24,109.400002
2002-04-25,108.720001
2002-04-26,107.290001
2002-04-29,106.629997
2002-04-30,106.639999
2002-05-01,106.800003
2002-05-02,107.779999
2002-05-03,107.199997
2002-05-06,105.309998
2002-05-07,104.900002
2002-05-08,106.790001
2002-05-09,107.58000200000001
2002-05-10,105.599998
2002-05-13,105.790001
2002-05-14,109.0
2002-05-15,109.290001
2002-05-16,109.33000200000001
2002-05-17,110.099998
2002-05-20,109.489998
2002-05-21,108.32
2002-05-22,108.0
2002-05-23,108.480003
2002-05-24,108.610001
2002-05-28,107.449997
2002-05-29,107.129997
2002-05-30,105.900002
2002-05-31,106.849998
2002-06-03,104.129997
2002-06-04,103.550003
2002-06-05,104.349998
2002-06-06,103.150002
2002-06-07,101.720001
2002-06-10,103.019997
2002-06-11,101.730003
2002-06-12,100.779999
2002-06-13,101.339996
2002-06-14,98.5
2002-06-17,101.849998
2002-06-18,103.629997
2002-06-19,102.239998
2002-06-20,100.959999
2002-06-21,98.68
2002-06-24,97.25
2002-06-25,97.540001
2002-06-26,95.190002
2002-06-27,96.57
2002-06-28,98.879997
2002-07-01,96.889999
2002-07-02,94.769997
2002-07-03,93.720001
2002-07-05,96.660004
2002-07-08,97.559998
2002-07-09,95.010002
2002-07-10,92.040001
2002-07-11,90.32
2002-07-12,91.519997
2002-07-15,87.889999
2002-07-16,89.870003
2002-07-17,89.75
2002-07-18,87.75
2002-07-19,84.300003
2002-07-22,81.449997
2002-07-23,79.75
2002-07-24,77.68
2002-07-25,81.599998
2002-07-26,83.800003
2002-07-29,87.300003
2002-07-30,88.720001
2002-07-31,89.25
2002-08-01,88.33000200000001
2002-08-02,85.620003
2002-08-05,83.550003
2002-08-06,85.110001
2002-08-07,85.769997
2002-08-08,87.800003
2002-08-09,89.349998
2002-08-12,89.550003
2002-08-13,88.650002
2002-08-14,88.019997
2002-08-15,92.199997
2002-08-16,92.0
2002-08-19,93.099998
2002-08-20,93.620003
2002-08-21,93.57
2002-08-22,95.07
2002-08-23,94.150002
2002-08-26,93.5
2002-08-27,93.5
2002-08-28,91.800003
2002-08-29,90.809998
2002-08-30,91.400002
2002-09-03,88.150002
2002-09-04,88.059998
2002-09-05,87.5
2002-09-06,89.339996
2002-09-09,88.800003
2002-09-10,90.559998
